Repository,Owner,Stars,URL
fastapi,fastapi,98440,https://github.com/fastapi/fastapi
Hello-Python,mouredev,35715,https://github.com/mouredev/Hello-Python
serve,jina-ai,21868,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21113,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18007,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,17970,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,14282,https://github.com/MODSetter/SurfSense
fastapi_mcp,tadata-org,11874,https://github.com/tadata-org/fastapi_mcp
XHS-Downloader,JoeanAmier,11248,https://github.com/JoeanAmier/XHS-Downloader
polar,polarsource,9863,https://github.com/polarsource/polar
pycaret,pycaret,9795,https://github.com/pycaret/pycaret
FastUI,pydantic,8970,https://github.com/pydantic/FastUI
FileCodeBox,vastsa,8292,https://github.com/vastsa/FileCodeBox
nonebot2,nonebot,7516,https://github.com/nonebot/nonebot2
fastapi-users,fastapi-users,6139,https://github.com/fastapi-users/fastapi-users
Yuxi,xerrors,5254,https://github.com/xerrors/Yuxi
grok2api,chenyme,4964,https://github.com/chenyme/grok2api
Kokoro-FastAPI,remsky,4871,https://github.com/remsky/Kokoro-FastAPI
strawberry,strawberry-graphql,4657,https://github.com/strawberry-graphql/strawberry
devpush,hunvreus,4655,https://github.com/hunvreus/devpush
dynaconf,dynaconf,4300,https://github.com/dynaconf/dynaconf
agent-service-toolkit,JoshuaC215,4281,https://github.com/JoshuaC215/agent-service-toolkit
logfire,pydantic,4259,https://github.com/pydantic/logfire
honcho,plastic-labs,3976,https://github.com/plastic-labs/honcho
datamodel-code-generator,koxudaxi,3906,https://github.com/koxudaxi/datamodel-code-generator
LitServe,Lightning-AI,3883,https://github.com/Lightning-AI/LitServe
fastapi-admin,fastapi-admin,3776,https://github.com/fastapi-admin/fastapi-admin
mcp-context-forge,IBM,3760,https://github.com/IBM/mcp-context-forge
Streamer-Sales,PeterH0323,3698,https://github.com/PeterH0323/Streamer-Sales
tracecat,TracecatHQ,3609,https://github.com/TracecatHQ/tracecat
opyrator,ml-tooling,3136,https://github.com/ml-tooling/opyrator
docarray,docarray,3118,https://github.com/docarray/docarray
fastapi-realworld-example-app,nsidnev,3109,https://github.com/nsidnev/fastapi-realworld-example-app
uvicorn-gunicorn-fastapi-docker,tiangolo,2907,https://github.com/tiangolo/uvicorn-gunicorn-fastapi-docker
FastAPI-template,s3rius,2800,https://github.com/s3rius/FastAPI-template
sqladmin,smithyhq,2730,https://github.com/smithyhq/sqladmin
fastapi-react,Buuntu,2586,https://github.com/Buuntu/fastapi-react
dograh,dograh-hq,2521,https://github.com/dograh-hq/dograh
supabase-py,supabase,2513,https://github.com/supabase/supabase-py
RasaGPT,paulpierre,2464,https://github.com/paulpierre/RasaGPT
Rapid-MLX,raullenchai,2409,https://github.com/raullenchai/Rapid-MLX
AIstudioProxyAPI,CJackHwang,2396,https://github.com/CJackHwang/AIstudioProxyAPI
any-auto-register,lxf746,2344,https://github.com/lxf746/any-auto-register
nextpy,dot-agent,2338,https://github.com/dot-agent/nextpy
fastapi-utils,fastapiutils,2309,https://github.com/fastapiutils/fastapi-utils
fastapi-langgraph-agent-production-ready-template,wassim249,2298,https://github.com/wassim249/fastapi-langgraph-agent-production-ready-template
fastapi-best-architecture,fastapi-practices,2235,https://github.com/fastapi-practices/fastapi-best-architecture
solara,widgetti,2161,https://github.com/widgetti/solara
mangum,Kludex,2115,https://github.com/Kludex/mangum
slowapi,laurentS,1991,https://github.com/laurentS/slowapi
xhs_ai_publisher,BetaStreetOmnis,1966,https://github.com/BetaStreetOmnis/xhs_ai_publisher
openapi-python-client,openapi-generators,1957,https://github.com/openapi-generators/openapi-python-client
headroom,chopratejas,1943,https://github.com/chopratejas/headroom
FastAPI-boilerplate,benavlabs,1919,https://github.com/benavlabs/FastAPI-boilerplate
piccolo,piccolo-orm,1906,https://github.com/piccolo-orm/piccolo
manage-fastapi,ycd,1903,https://github.com/ycd/manage-fastapi
fastapi-cache,long2ice,1865,https://github.com/long2ice/fastapi-cache
ormar,ormar-orm,1809,https://github.com/ormar-orm/ormar
python-week-2022,rochacbruno,1807,https://github.com/rochacbruno/python-week-2022
kiro-gateway,jwadow,1750,https://github.com/jwadow/kiro-gateway
hajimi,wyeeeee,1741,https://github.com/wyeeeee/hajimi
open-wearables,the-momentum,1713,https://github.com/the-momentum/open-wearables
WebRPA,pmh1314520,1700,https://github.com/pmh1314520/WebRPA
fastapi-crudrouter,awtkns,1691,https://github.com/awtkns/fastapi-crudrouter
fastapi-pagination,uriyyo,1657,https://github.com/uriyyo/fastapi-pagination
langchain-serve,jina-ai,1640,https://github.com/jina-ai/langchain-serve
coronavirus-tracker-api,ExpDev07,1567,https://github.com/ExpDev07/coronavirus-tracker-api
codex-lb,Soju06,1562,https://github.com/Soju06/codex-lb
fastapi-amis-admin,amisadmin,1549,https://github.com/amisadmin/fastapi-amis-admin
fastcrud,benavlabs,1519,https://github.com/benavlabs/fastcrud
tavily-key-generator,skernelx,1499,https://github.com/skernelx/tavily-key-generator
fastapi-boilerplate,teamhide,1491,https://github.com/teamhide/fastapi-boilerplate
prometheus-fastapi-instrumentator,trallnag,1455,https://github.com/trallnag/prometheus-fastapi-instrumentator
fastapi-code-generator,koxudaxi,1395,https://github.com/koxudaxi/fastapi-code-generator
aktools,akfamily,1371,https://github.com/akfamily/aktools
RuoYi-Vue3-FastAPI,insistence,1346,https://github.com/insistence/RuoYi-Vue3-FastAPI
budgetml,ebhy,1345,https://github.com/ebhy/budgetml
bolt-python,slackapi,1305,https://github.com/slackapi/bolt-python
full-stack-ai-agent-template,vstorm-co,1285,https://github.com/vstorm-co/full-stack-ai-agent-template
yubal,guillevc,1272,https://github.com/guillevc/yubal
fastapi-alembic-sqlmodel-async,vargasjona,1269,https://github.com/vargasjona/fastapi-alembic-sqlmodel-async
fastapi_production_template,zhanymkanov,1246,https://github.com/zhanymkanov/fastapi_production_template
Chatterbox-TTS-Server,devnen,1233,https://github.com/devnen/Chatterbox-TTS-Server
ultimate-fastapi-tutorial,ChristopherGS,1213,https://github.com/ChristopherGS/ultimate-fastapi-tutorial
authx,yezz123,1173,https://github.com/yezz123/authx
enterprise-deep-research,SalesforceAIResearch,1169,https://github.com/SalesforceAIResearch/enterprise-deep-research
odmantic,art049,1168,https://github.com/art049/odmantic
WebAI-to-API,Amm1rr,1150,https://github.com/Amm1rr/WebAI-to-API
WebVideo2NAS,asdfghj1237890,1149,https://github.com/asdfghj1237890/WebVideo2NAS
intelligent-audit-system,Ricky-7-Yan,1139,https://github.com/Ricky-7-Yan/intelligent-audit-system
SAG,Zleap-AI,1131,https://github.com/Zleap-AI/SAG
ddddocr-fastapi,sml2h3,1110,https://github.com/sml2h3/ddddocr-fastapi
fastapi-observability,blueswen,1099,https://github.com/blueswen/fastapi-observability
titiler,developmentseed,1097,https://github.com/developmentseed/titiler
fastapi-course,Sanjeev-Thiyagarajan,1096,https://github.com/Sanjeev-Thiyagarajan/fastapi-course
fim-one,fim-ai,1093,https://github.com/fim-ai/fim-one
AiSOC,beenuar,1090,https://github.com/beenuar/AiSOC
swiss_army_llama,Dicklesworthstone,1053,https://github.com/Dicklesworthstone/swiss_army_llama
secure,TypeError,1038,https://github.com/TypeError/secure
Blitz,ReturnFI,1034,https://github.com/ReturnFI/Blitz
fastapi-nano,rednafi,1033,https://github.com/rednafi/fastapi-nano
autollm,viddexa,1004,https://github.com/viddexa/autollm
fastapi-do-zero,dunossauro,996,https://github.com/dunossauro/fastapi-do-zero
fastapi-scaff,atpuxiner,994,https://github.com/atpuxiner/fastapi-scaff
lanarky,ajndkr,994,https://github.com/ajndkr/lanarky
fastapi-mail,sabuhish,991,https://github.com/sabuhish/fastapi-mail
starlette-admin,jowilf,988,https://github.com/jowilf/starlette-admin
energy-forecasting,iusztinpaul,972,https://github.com/iusztinpaul/energy-forecasting
marker-api,adithya-s-k,970,https://github.com/adithya-s-k/marker-api
KonomiTV,tsukumijima,969,https://github.com/tsukumijima/KonomiTV
bitcart,bitcart,942,https://github.com/bitcart/bitcart
langcorn,msoedov,939,https://github.com/msoedov/langcorn
aegra,aegra,924,https://github.com/aegra/aegra
httpdbg,cle-b,904,https://github.com/cle-b/httpdbg
api-llm-ocr,yigitkonur,891,https://github.com/yigitkonur/api-llm-ocr
ludic,getludic,890,https://github.com/getludic/ludic
air,feldroy,885,https://github.com/feldroy/air
8mb.local,JMS1717,860,https://github.com/JMS1717/8mb.local
FastAPI-Backend-Template,Aeternalis-Ingenium,858,https://github.com/Aeternalis-Ingenium/FastAPI-Backend-Template
PyNest,PythonNest,851,https://github.com/PythonNest/PyNest
fastapi-versioning,DeanWay,845,https://github.com/DeanWay/fastapi-versioning
pytriton,triton-inference-server,845,https://github.com/triton-inference-server/pytriton
lccn_predictor,baoliay2008,833,https://github.com/baoliay2008/lccn_predictor
fastapi-jwt-auth,IndominusByte,828,https://github.com/IndominusByte/fastapi-jwt-auth
fastapi_login,maxrdu,823,https://github.com/maxrdu/fastapi_login
rag_api,danny-avila,823,https://github.com/danny-avila/rag_api
transmute,transmute-app,806,https://github.com/transmute-app/transmute
fastapi-mvc,fastapi-mvc,800,https://github.com/fastapi-mvc/fastapi-mvc
learn-generative-ai,panaverse,796,https://github.com/panaverse/learn-generative-ai
flaskwebgui,ClimenteA,787,https://github.com/ClimenteA/flaskwebgui
fastapi-guard,rennf93,786,https://github.com/rennf93/fastapi-guard
fastapi-limiter,long2ice,784,https://github.com/long2ice/fastapi-limiter
advanced-alchemy,litestar-org,771,https://github.com/litestar-org/advanced-alchemy
KS-Downloader,JoeanAmier,767,https://github.com/JoeanAmier/KS-Downloader
docling-api,drmingler,764,https://github.com/drmingler/docling-api
fastapi-sqlalchemy,mfreeborn,757,https://github.com/mfreeborn/fastapi-sqlalchemy
ohmycaptcha,shenhao-stu,744,https://github.com/shenhao-stu/ohmycaptcha
fastapi_contrib,identixone,743,https://github.com/identixone/fastapi_contrib
xianyu_spider,superboyyy,735,https://github.com/superboyyy/xianyu_spider
annotated-py-projects,hhstore,728,https://github.com/hhstore/annotated-py-projects
oxyde,mr-fatalyst,725,https://github.com/mr-fatalyst/oxyde
AgentChat,Shy2593666979,724,https://github.com/Shy2593666979/AgentChat
fief,fief-dev,719,https://github.com/fief-dev/fief
linbing,taomujian,716,https://github.com/taomujian/linbing
dddpy,iktakahiro,715,https://github.com/iktakahiro/dddpy
fasthx,volfpeter,713,https://github.com/volfpeter/fasthx
cookiecutter-fastapi,arthurhenrique,708,https://github.com/arthurhenrique/cookiecutter-fastapi
Orpheus-FastAPI,Lex-au,696,https://github.com/Lex-au/Orpheus-FastAPI
pity,wuranxu,691,https://github.com/wuranxu/pity
fastapi-azure-auth,intility,675,https://github.com/intility/fastapi-azure-auth
modern-apis-with-fastapi,talkpython,669,https://github.com/talkpython/modern-apis-with-fastapi
fastapi-celery,GregaVrbancic,667,https://github.com/GregaVrbancic/fastapi-celery
Fooocus-API,mrhan1993,664,https://github.com/mrhan1993/Fooocus-API
fastapi-permissions,holgi,656,https://github.com/holgi/fastapi-permissions
Gemini-FastAPI,Nativu5,653,https://github.com/Nativu5/Gemini-FastAPI
gpt-home,judahpaul16,644,https://github.com/judahpaul16/gpt-home
scrapecraft,ScrapeGraphAI,641,https://github.com/ScrapeGraphAI/scrapecraft
mineru-tianshu,magicyuan876,640,https://github.com/magicyuan876/mineru-tianshu
alexandria-audiobook,Finrandojin,636,https://github.com/Finrandojin/alexandria-audiobook
Options-Analytics-Agent,nuglifeleoji,627,https://github.com/nuglifeleoji/Options-Analytics-Agent
easyauth,codemation,620,https://github.com/codemation/easyauth
cookiecutter-spacy-fastapi,microsoft,619,https://github.com/microsoft/cookiecutter-spacy-fastapi
fastapi-plugins,madkote,617,https://github.com/madkote/fastapi-plugins
InsightFace-REST,SthPhoenix,617,https://github.com/SthPhoenix/InsightFace-REST
mini-rag,bakrianoo,615,https://github.com/bakrianoo/mini-rag
fastapi-cli,fastapi,611,https://github.com/fastapi/fastapi-cli
starlette-context,tomwojcik,611,https://github.com/tomwojcik/starlette-context
fastapi-events,melvinkcx,609,https://github.com/melvinkcx/fastapi-events
fastapi-ml-skeleton,eightBEC,601,https://github.com/eightBEC/fastapi-ml-skeleton
FastAPI-Production-Boilerplate,iam-abbas,595,https://github.com/iam-abbas/FastAPI-Production-Boilerplate
fastapi_websocket_pubsub,permitio,591,https://github.com/permitio/fastapi_websocket_pubsub
xtts-api-server,daswer123,587,https://github.com/daswer123/xtts-api-server
tasking-manager,hotosm,587,https://github.com/hotosm/tasking-manager
cashews,Krukov,580,https://github.com/Krukov/cashews
HibiAPI,mixmoe,579,https://github.com/mixmoe/HibiAPI
minimal-fastapi-postgres-template,rafsaf,566,https://github.com/rafsaf/minimal-fastapi-postgres-template
fastapi-crud-async,testdrivenio,563,https://github.com/testdrivenio/fastapi-crud-async
fastapi-sqlmodel-alembic,testdrivenio,561,https://github.com/testdrivenio/fastapi-sqlmodel-alembic
fastapi-clean-example,ivan-borovets,554,https://github.com/ivan-borovets/fastapi-clean-example
netbox-proxbox,emersonfelipesp,554,https://github.com/emersonfelipesp/netbox-proxbox
fastapi-gino-arq-uvicorn,leosussan,553,https://github.com/leosussan/fastapi-gino-arq-uvicorn
fastapi-microservices,Kludex,546,https://github.com/Kludex/fastapi-microservices
fastapi-mcp-langgraph-template,NicholasGoh,546,https://github.com/NicholasGoh/fastapi-mcp-langgraph-template
fastapi-mongo,Youngestdev,545,https://github.com/Youngestdev/fastapi-mongo
fastapi-clean-architecture,jujumilk3,542,https://github.com/jujumilk3/fastapi-clean-architecture
fastapi-sqlalchemy-asyncpg,grillazz,523,https://github.com/grillazz/fastapi-sqlalchemy-asyncpg
Dash-FastAPI-Admin,HogaStack,511,https://github.com/HogaStack/Dash-FastAPI-Admin
FastDepends,Lancetnik,506,https://github.com/Lancetnik/FastDepends
restai,apocas,506,https://github.com/apocas/restai
ScienceClaw,AgentTeam-TaichuAI,505,https://github.com/AgentTeam-TaichuAI/ScienceClaw
streamlit-fastapi-model-serving,davidefiocco,503,https://github.com/davidefiocco/streamlit-fastapi-model-serving
fastapi-clean-example,0xTheProDev,502,https://github.com/0xTheProDev/fastapi-clean-example
auto-browser,LvcidPsyche,501,https://github.com/LvcidPsyche/auto-browser
fastapi-rocket-boilerplate,asacristani,497,https://github.com/asacristani/fastapi-rocket-boilerplate
fastapi-mysql-generator,wxy2077,492,https://github.com/wxy2077/fastapi-mysql-generator
rag-postgres-openai-python,Azure-Samples,490,https://github.com/Azure-Samples/rag-postgres-openai-python
OpenUBA,GACWR,483,https://github.com/GACWR/OpenUBA
fastapi-sso,tomasvotava,476,https://github.com/tomasvotava/fastapi-sso
Streaming-Media-Server-Pro,kfcx,474,https://github.com/kfcx/Streaming-Media-Server-Pro
fastapi_simple_security,mrtolkien,470,https://github.com/mrtolkien/fastapi_simple_security
